"","baseMean","log2FoldChange","lfcSE","svalue"
"YDL107W",385.143523388267,-0.451124230140261,0.0766131773974467,0.16489552743669
"YDL106C",1170.6407220718,-1.05896117483256,0.0527360174131473,0
"YDL105W",298.111893962617,-0.280693837262812,0.0921949106011514,0.351452606731922
"YDL104C",183.046876361615,0.0384311680352771,0.0925996097176143,0.480049434956017
"YDL103C",1445.67045953827,-0.70333018242063,0.0734376901829742,0.000209058229038646
"YDL102W",891.301191950763,-0.0552130253474987,0.0687587965065952,0.512377964615359
"YDL101C",919.557920255642,-0.208111880605493,0.0891372832026624,0.413706346091115
"YDL100C",4057.2733813883,-0.693871186583684,0.0673594308314465,0.000135779626342941
"YDL099W",3734.04602349355,-1.29236522049511,0.058566235977538,0
"YDL098C",200.068164509654,-0.233380431111139,0.113414515064765,0.349307451998498
"YDL097C",6681.26734663787,-1.24396341490509,0.0827807325856552,0
"YDL096C",2.86163521626806,-1.28689915089345,0.733620538988912,0.0162908902129069
"YDL095W",3654.49053290788,0.701242805046464,0.0508645296241983,2.21301042700629e-06
"YDL094C",5.82495159903864,0.884585940011526,0.490718259761182,0.0285768438025712
"YDL093W",540.456275806517,0.0914095975367306,0.0814980908114789,0.480918481049118
"YDL092W",855.054693234606,-0.0660302294137568,0.0721444040544989,0.505388637786719
"YDL091C",672.519366771109,-1.28389437954191,0.0796855474735139,0
"YDL090C",555.181339568647,-1.46919208717763,0.0835789275440161,0
"YDL089W",467.308169262468,-1.19071230413441,0.0871648401431755,3.646892630487e-17
"YDL088C",1214.62247932916,-0.610062775957173,0.058647148610605,0.00302537624931864
"YDL087C",578.361233729127,-0.509996489453018,0.0737211679795718,0.0749901609031888
"YDL086W",1272.70890955525,-0.180929885490372,0.0718290750383008,0.462315716932544
"YDL085C-A",842.721796207975,-0.248354780909382,0.108356922437303,0.346608533838743
"YDL085W",302.903060045253,1.74843512296421,0.235336438776956,2.74542202692089e-09
"YDL084W",4505.25731009208,0.257861336998742,0.106573705012964,0.342660876377116
"YDL083C",5019.09691120563,1.39572210685499,0.180037976670203,1.62250084279653e-08
"YDL082W",5466.06725164731,0.885664722655118,0.131885463942252,0.00011268424238733
