"","CK45_1","CK45_2","AC45_1","AC45_2","CK120_1","CK120_2","AC120_1","AC120_2","CK200_1","CK200_2","AC200_1","AC200_2"
"snR8",113.747294026465,123.064796746179,190.537295756438,131.383377576692,103.507243949449,387.344093574759,60.7737744314712,112.929140038684,121.953250250838,74.944116535309,88.445373315504,37.5599069999246
"YOR272W",1046.86068909103,1123.75226809832,2542.76557789246,2473.03047881083,2008.687452894,2054.87259704597,2603.00067670569,2520.32510665773,2318.02869649714,2137.93283791942,2428.68961897401,2525.52814667493
"YOR273C",834.78946293999,805.760019571696,999.186652151318,932.47317536732,1493.30763406237,1661.4381875345,953.549080516323,966.757871733031,1778.86695854606,1873.60291338272,927.151499583215,1057.68698111788
"YOR274W",362.449004694499,379.075505305748,952.686478782188,1039.44017304038,546.647632108029,481.134959000094,971.524422249575,878.103219740046,839.918625787729,824.385281888399,996.281216657402,993.083941078005
"YOR275C",939.86111589664,953.07846239194,903.9180042731,832.482286238156,1005.96102713371,909.893200944481,915.88645974189,891.823582548484,749.141394398008,876.035956797868,866.154690400108,914.959334518162
"YOR276W",308.467238037872,345.8390273524,526.245864470161,574.366270114035,530.474625240927,557.87293980264,592.330308543353,527.706261863008,552.915863919215,641.076023876359,523.555945488328,573.915378958847
"snR31",59.7655273698376,70.0660886584084,41.9635710892154,44.1820207780027,56.0664238059517,130.332761045595,18.8313103872164,27.4407256168764,87.1094644648846,74.944116535309,36.5980855098637,20.2823497799593
"snR5",31.8106839226555,59.2866904032686,156.512778657074,155.799757480325,45.284419227884,177.837225351933,150.650483097731,162.533528653807,63.2689794534425,62.7910165566102,139.276047634759,129.20608007974
"YOR278W",288.224075541636,305.416283895626,191.671446326416,201.144463015644,339.63314420913,358.110577078551,226.831693300562,191.029666794409,298.006062643026,327.120941093308,218.571899572797,203.574695939591
"YOR279C",621.754276670085,579.392656213762,620.380361778401,605.758758561563,769.835126874029,749.108860215336,533.268471419811,557.257812527337,589.593533167587,569.170182335725,565.237098430118,619.738465498755
"YOR280C",546.565387398354,569.51154114655,580.685091829143,556.925998754297,575.759044468812,553.000687053272,480.198414874019,522.429199244378,481.394408884889,529.672607404954,497.123994842316,525.087499858945
"YOR281C",892.627070072091,947.68876326437,1363.24898511451,1481.26038082041,1220.52291823726,1183.95741809643,1540.74357713589,1322.4318922287,1023.30697202959,1099.85554807224,1569.6512229786,1554.22895165688
"YOR282W",17.3512821396303,15.2708141947813,2.26830113995759,0,12.9384054936812,12.1806318734201,0.855968653964383,6.3324751423561,3.66776692483725,6.07654998934937,3.04984045915531,4.50718883999095
"YOR283W",1547.1559907837,1526.1831362902,804.112754114966,819.692753907681,2058.28467395311,2103.59512453965,837.137343577167,781.005267557252,1532.20963285076,1756.12294692197,814.307402594468,853.361087038286
"YOR284W",296.899716611452,299.128301580128,91.8661961682824,93.0147805852688,255.533508500203,221.687500096246,113.843830977263,113.98455256241,207.228831253304,189.385808001389,100.644735152125,101.411748899796
"YOR285W",2333.74744778027,2313.97749210333,2447.49693001424,2306.76655851467,1980.65424099102,1939.15659424848,2537.09109035043,2425.33797952239,1523.95715726988,1608.26023051447,2451.05511567449,2569.84883693484
"YOR286W",1391.9584116459,1383.3561094096,1224.8826155771,1182.45039819023,1273.35474066979,1438.53262425091,1069.96081745548,1086.01948691407,1340.56881102801,1288.22859774207,1117.25822153723,986.323157818019
"YOR287C",363.412964813368,412.311983259096,1143.22377453863,1206.86677809386,790.320935572357,721.093406906469,1094.78390842045,1179.95120152569,780.317413259124,700.828765438295,1127.42435640108,1118.53403045775
"YOR288C",323.890599939765,342.245894600687,249.513125395335,281.369711270438,449.60959090542,370.291208951971,304.72484081132,275.46266869249,378.696934989446,351.427141050706,236.870942327729,281.699302499434
"YOR289W",313.287038632213,350.330443292042,138.366369537413,169.751974568116,432.358383580512,389.780219949443,155.786295021518,145.64692827419,389.700235763957,386.873682655244,141.309274607529,169.019581499661
"tA(UGC)O",5.7837607132101,16.1690973827096,3.40245170993638,0,2.15640091561353,10.9625686860781,0.855968653964383,3.16623757117805,6.41859211846518,8.10206665246583,1.0166134863851,0.751198139998491
"YOR290C",3905.00244153568,3951.54774369665,4510.51681680567,4606.55700848544,3191.47335510802,3020.79670460818,4379.99160233575,4557.27127744894,4029.04196693372,3785.69064336466,4759.78434325506,4728.0410931505
"YOR291W",1442.08433782705,1293.52779061677,1041.15022324053,947.588077212426,1253.94713242927,1151.0697120382,1002.33929379229,1022.69473549051,1304.80808351085,1313.54755603102,986.115081793551,1022.38066853795
"YOR292C",512.826783237962,495.852319736429,298.281599904423,333.690525349652,374.135558858947,447.029189754517,338.963586969896,325.067057307613,230.152374533537,277.495782846955,320.233248211308,310.996029959375
